,source,author,title,description,url,urlToImage,publishedAt,content
10,"{'id': None, 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Texas shooting: 19 children among dead in primary school attack - BBC,"Nineteen children are shot dead by a teenage gunman, who is himself killed by law enforcement.",https://www.bbc.com/news/world-us-canada-61573377,https://ichef.bbci.co.uk/news/1024/branded_news/150E0/production/_124904268_texas.jpg,2022-05-25T11:33:25Z,"By Angelica Casas &amp; Max MatzaBBC News, Uvalde
Image caption, Relatives of children at the school gathered at a nearby civic centre to wait for news
Nineteen young children and two adults have d… [+7814 chars]"
11,"{'id': None, 'name': 'The Guardian'}",Guardian staff reporter,"Antetokounmpo, Jokic and Doncic head historically young All-NBA team - The Guardian","Devin Booker and Jayson Tatum were also voted to the All-NBA first team on Tuesday, the first time in 67 years all five players were age 27 or younger",https://amp.theguardian.com/sport/2022/may/25/antetokounmpo-jokic-and-doncic-head-historically-young-all-nba-team,,2022-05-25T11:32:00Z,"NBA<ul><li>All players in team are 27 or younger for for first time in 67 years</li><li>Devin Booker and Jayson Tatum complete team line-up</li></ul>
Wed 25 May 2022 07.32 EDT
Giannis Antetokounmpo… [+2104 chars]"
12,"{'id': None, 'name': 'The Guardian'}",Julia Kollewe,Pfizer to offer all its drugs not-for-profit to 45 lower-income countries - The Guardian,Company launches ‘healthier world’ accord in Davos and speaks to other pharma firms about similar steps,https://amp.theguardian.com/business/2022/may/25/pfizer-to-offer-low-cost-medicines-to-45-lower-income-countries,,2022-05-25T11:30:00Z,"Davos 2022Company launches healthier world accord in Davos and speaks to other pharma firms about similar steps
Wed 25 May 2022 11.44 BST
Pfizer has announced it is to supply all its current and fu… [+5198 chars]"
13,"{'id': None, 'name': 'TheJournal.ie'}",Céimin Burke,Passport Express renamed Post Passport ‘to better reflect slower turnaround time’ - TheJournal.ie,A Fine Gael TD who campaigned for months to have the name changed says it will “alleviate confusion”.,https://www.thejournal.ie/passport-express-post-passport-renamed-5773642-May2022/,https://img2.thejournal.ie/article/5773642/river/?height=400&version=5773716,2022-05-25T11:26:00Z,"PASSPORT EXPRESS HAS been renamed as Post Passport because its the slowest method of applying for the travel document.
An Post rebranded the service in a move sanctioned by the Department of Foreign… [+2672 chars]"
14,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",ABC News,Scathing report blames Boris Johnson for British government parties during COVID-19 lockdown - ABC News,A long-awaited report into secret parties held at 10 Downing Street while Britain was locked down during its first COVID-19 wave blames the government's senior leadership team.,https://www.abc.net.au/news/2022-05-25/boris-johnson-blamed-covid-lockdown-parties-sue-gray-report/101100204,https://live-production.wcms.abc-cdn.net.au/243246317887d149b77ac62cbaf180b9?impolicy=wcms_crop_resize&cropH=1080&cropW=1920&xPos=0&yPos=0&width=862&height=485,2022-05-25T11:25:20Z,"A report into lockdown-breaching UK government parties says blame for a ""culture"" of rule breaking in Prime Minister Boris Johnson's office must rest with those at the top.
<ul><li>The report invest… [+3722 chars]"
15,"{'id': None, 'name': 'Healthday.com'}",Ernie Mundell,Effectiveness of Antiviral Drugs Against Monkeypox Uncertain: Study - HealthDay News,"WEDNESDAY, May 25, 2022 (HealthDay News) -- Up until recently monkeypox infection outside of Africa was rare, but a look back at seven cases occurring in Britain over the past few years gives hints at what drugs work to fight the disease -- and which don’t.Th…",https://consumer.healthday.com/b-5-25-effectiveness-of-antivirals-against-monkeypox-uncertain-study-2657380452.html,https://consumer.healthday.com/media-library/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy8yOTgzMjU1Ny9vcmlnaW4uanBnIiwiZXhwaXJlc19hdCI6MTY2NDQxNDI3OH0.adrN8LIAgTxBYNJ7kJWJz5zzR0TT081ECSRFSIQE7nU/image.jpg?width=1200&coordinates=0%2C1284%2C0%2C1284&height=600,2022-05-25T11:23:32Z,"WEDNESDAY, May 25, 2022 (HealthDay News) -- Up until recently monkeypox infection outside of Africa was rare, but a look back at seven cases occurring in Britain over the past few years gives hints a… [+5449 chars]"
16,"{'id': None, 'name': 'Premium Times'}",Premium Times,"Nigerian activist, six others win Goldman environmental prize - Premium Times",The Goldman Prize is awarded annually to environmental heroes from each of the world’s six inhabited continental regions.,https://www.premiumtimesng.com/news/top-news/532316-nigerian-activist-six-others-win-goldman-environmental-prize.html,https://media.premiumtimesng.com/wp-content/files/2022/05/Mr-Williams-is-the-third-Nigerian-to-win-the-Goldman-Environmental-Prize.jpeg,2022-05-25T11:22:43Z,"The Executive Director of Environmental Rights Action/Friends of the Earth Nigeria (ERA/FoEN), Chima Williams, has been named among the seven winners of this years prestigious Goldman Environmental P… [+3683 chars]"
17,"{'id': 'the-irish-times', 'name': 'The Irish Times'}","Conor Lally, Tim O'Brien, Conor Gallagher","Dublin Airport: One man arrested, another hospitalised after fight at terminal - The Irish Times",Minister for Justice says incident is ‘absolutely not acceptable. People were queuing to go on their holidays’,https://www.irishtimes.com/crime-law/2022/05/25/dublin-airport-one-man-arrested-another-hospitalised-after-fight-at-terminal/,https://irishtimes-irishtimes-prod.cdn.arcpublishing.com/resizer/unnWj0cjUPcK3zMHEG9gHuUviPM=/1200x630/filters:format(jpg):quality(70)/cloudfront-eu-central-1.images.arcpublishing.com/irishtimes/B4BQ3GS4NBU2IDO3HRSDURSWUE.jpg,2022-05-25T11:21:56Z,Gardai and Dublin Airport police were called to the scene of fight between a number of men at the airport on Tuesday evening. One man was arrested and another was hospitalised after sustaining injuri… [+2544 chars]
18,"{'id': None, 'name': 'Hindustan Times'}",HT Tech,Instagram Down Reactions: Users flood Twitter with hard-hitting memes - HT Tech,Instagram down reactions: Hilarious reactions on Twitter put things in perspective for Instagram and what users think about such fiascos.,https://tech.hindustantimes.com/tech/news/instagram-down-reactions-users-flood-twitter-with-hard-hitting-memes-71653476208708.html,https://images.hindustantimes.com/tech/img/2022/05/25/1600x900/gabrielle-henderson-bmUa09zy2ZQ-unsplash_1618039228638_1653476276432.jpg,2022-05-25T11:11:45Z,"Instagram down reactions: In the morning of May 25, popular social media platform Instagram faced nationwide outage that lasted as much as 3 hours. Many users faced difficulties logging in to the pla… [+2013 chars]"
19,"{'id': 'cnn', 'name': 'CNN'}","Daniel Dale and Andrew Kaczynski, CNN",Fact check: Herschel Walker falsely claims he never falsely claimed he graduated from University of Georgia - CNN,"Herschel Walker, the former football star who is now the Republican nominee for a US Senate seat in Georgia, is piling dishonesty upon dishonesty on the subject of his college education.",https://www.cnn.com/2022/05/25/politics/fact-check-walker-university-of-georgia-graduated/index.html,https://cdn.cnn.com/cnnnext/dam/assets/220520170216-01-herschel-walker-file-051822-super-tease.jpg,2022-05-25T11:08:00Z,"(CNN)Herschel Walker, the former football star who is now the Republican nominee for a US Senate seat in Georgia, is piling dishonesty upon dishonesty on the subject of his college education.
In Dec… [+5406 chars]"
20,"{'id': None, 'name': 'Livemint'}",Livemint,"Monkeypox: Pandemic Scenario Cannot Be Ruled Out…, Expert Explains How The Virus Can Become Dangerous | Mint - Mint","Unless the virus has evolved significantly, both in its transmissibility and in its modes of transmission, this virus is known to be not very transmissible.",https://www.livemint.com/news/world/monkeypox-pandemic-scenario-cannot-be-ruled-out-expert-explains-how-the-virus-can-become-dangerous-11653473159926.html,https://images.livemint.com/img/2022/05/25/600x338/monekypox_1653282146685_1653476773150.jpg,2022-05-25T11:07:37Z,"Despite the rise in the number of cases, it is still too early to talk about a monkeypox epidemic, an expert pointed out. Unless the virus has evolved significantly, both in its transmissibility and … [+2519 chars]"
21,"{'id': None, 'name': 'The Indian Express'}",New York Times,"More than 1 in 5 adult Covid survivors in US may develop long Covid, CDC study suggests - The Indian Express",Long Covid is the term used to describe an array of symptoms that can last for months or longer after the initial coronavirus infection.,https://indianexpress.com/article/lifestyle/health/more-than-1-in-5-adult-covid-survivors-in-us-may-develop-long-covid-cdc-study-suggests-7935844/,https://images.indianexpress.com/2022/05/VIRUS-VACATION-RETURN-6-3.jpeg,2022-05-25T11:05:40Z,"One in 5 adult Covid survivors under age 65 in the United States has experienced at least one health condition that could be considered long Covid, according to a large new study by the Centres for D… [+2010 chars]"
22,"{'id': None, 'name': 'Dovepress.com'}",Dove Press,Hypogyrification in generalized anxiety disorder | NSS - Dove Medical Press,Exploring whether the aberrant cortical morphology was associated with insomnia in generalized anxiety disorder,https://www.dovepress.com/hypogyrification-in-generalized-anxiety-disorder-and-associated-with-i-peer-reviewed-fulltext-article-NSS,https://www.dovepress.com/assets/img/addon/og_logo.png,2022-05-25T11:04:48Z,"Introduction
Generalized anxiety disorder (GAD) is a common mental disorder characterized by repeated and excessive worries about future unpredictable events.1 The life prevalence of GAD is estimate… [+36225 chars]"
23,"{'id': 'financial-post', 'name': 'Financial Post'}","Natalie  Grover, Reuters","What vaccines, treatments do we have to combat monkeypox? - Financial Post",LONDON — With cases of monkeypox inexplicably on the rise outside of Africa – where the viral disease is endemic – public health officials are using contact…,https://financialpost.com/pmn/business-pmn/what-vaccines-treatments-do-we-have-to-combat-monkeypox,,2022-05-25T11:03:07Z,"Author of the article:
Article content
LONDON With cases of monkeypox inexplicably on the rise outside of Africa where the viral disease is endemic public health officials are using contact tracing… [+6073 chars]"
24,"{'id': None, 'name': 'The Indian Express'}",Tech Desk,NASA’s InSight Mars lander takes one last selfie - The Indian Express,"NASA's InSight team expects the lander to become inoperative by December; concluding a mission that has detected more than 1,300 marsquakes and located the most quake-prone regions of the Red Planet.",https://indianexpress.com/article/technology/science/nasa-insight-mars-rover-last-selfie-mission-end-7935887/,https://images.indianexpress.com/2022/05/InSight-rover-last-selfie-NASA.jpg,2022-05-25T11:00:42Z,NASAs InSight Mars lander took what the space agency says will be its last selfie on April 24 this year. The lander can be seen covered in a lot of dust. The InSight team expects the lander to become… [+2095 chars]
25,"{'id': None, 'name': 'The42'}",Daire Walsh,'We had it out with each other' - Tough Munster conversations following Leinster defeat - The42,Johann van Graan’s charges delivered a below-par performance against a fringe Leinster team last weekend.,https://www.the42.ie/chris-farrell-munster-3-5773254-May2022/,https://img2.thejournal.ie/article/5773254/river/?height=400&version=5773264,2022-05-25T11:00:00Z,CHRIS FARRELL ADMITTED yesterday there have been some tough conversations within the Munster squad in the wake of their disappointing United Rugby Championship defeat to a fringe Leinster team at the… [+4529 chars]
26,"{'id': 'wired', 'name': 'Wired'}",Ramin Skibba,Researchers Made Ultracold Quantum Bubbles on the Space Station - WIRED,NASA’s Cold Atom Laboratory runs super-low-temperature experiments in near-zero gravity that would be impossible to accomplish on Earth.,https://www.wired.com/story/researchers-made-ultracold-quantum-bubbles-on-the-space-station/,"https://media.wired.com/photos/628d7932616e0f74943c26c4/191:100/w_1280,c_limit/cal-cygnus-scaled-science.jpg",2022-05-25T11:00:00Z,"In March 2018, researchers launched what looks like a white, cooler-sized fridge to the International Space Station. That heavy box houses a $100 million facility known as the Cold Atom Laboratory, w… [+3141 chars]"
27,"{'id': None, 'name': 'TheJournal.ie'}",Press Association,Unionists seethe at 'meddling Americans' as Richie Neal and Co. visit Derry - TheJournal.ie,Democrat Richard Neal angered unionists with comments yesterday.,https://www.thejournal.ie/us-politicians-visit-northern-ireland-protocol-5773535-May2022/,https://img2.thejournal.ie/article/5773535/river/?height=400&version=5773705,2022-05-25T10:56:00Z,"Updated 1 hour ago
THE DELEGATION OF US politicians on a fact-finding mission to Ireland are in Derry today after a day in Dublin yesterday that angered the DUP. 
The delegation led by senior US De… [+4234 chars]"
28,"{'id': None, 'name': 'Zoom'}",TN Education Desk,"Rajasthan, RBSE 5th 8th Result 2022 aaj nahin hoga jaari, what BSER Ajmer officials have said - Times Now","Rajasthan Board, RBSE 8th Result 2022 date has been shared. Rajsthan Board Ajmer officials have now shared update on RBSE 5th 8th Result 2022 date and shared tentative date for results. RBSE Results would be released on rajeduboard.rajasthan.gov.in and rajres…",https://www.timesnownews.com/education/rajasthan-rbse-5th-8th-result-2022-aaj-nahin-hoga-jaari-what-bser-ajmer-officials-have-said-article-91788179,"https://static.tnn.in/thumb/msid-91788179,imgsize-100,width-1280,height-720,resizemode-75/91788179.jpg",2022-05-25T10:49:49Z,"04:26
US' Mass Shooting: A Father Recounts Horror, Biden, Obama, Clinton, Hit Out At Gun Lobby"
29,"{'id': None, 'name': 'ZDNet'}",Liam Tung,NASA's InSight Mars lander has taken its final selfie. Here it is - ZDNet,"After the selfie, Insight's robotic arm will move to a ""retirement pose"".",https://www.zdnet.com/article/nasas-insight-mars-lander-has-taken-its-final-selfie-here-it-is/,https://www.zdnet.com/a/img/resize/1438abcadd83954b37732d563b9085755a055b06/2022/05/25/7380cf1f-ef14-4647-b9fb-5d76c85f970d/pia25287.gif?width=770&height=578&fit=crop&auto=webp,2022-05-25T10:46:39Z,"InSight's Final Selfie.
Image: NASA/JPL-Caltech
NASA's InSight Mars lander has sent back its last selfie of its dust-covered solar panels and deck, in an image taken on its 1,211th 'sol' or Martian… [+3760 chars]"
30,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,"Pakistan: Police fire teargas, baton-charge supporters of ousted PM Khan - Times of India",Pakistan News: Pakistani police fired teargas and baton-charged supporters of ousted Prime Minister Imran Khan on Wednesday to block them from reaching the capital I,https://timesofindia.indiatimes.com/world/pakistan/pakistan-police-fire-teargas-baton-charge-supporters-of-ousted-pm-khan/articleshow/91788878.cms,"https://static.toiimg.com/thumb/msid-91788883,width-1070,height-580,imgsize-1013432,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-05-25T10:45:00Z,
31,"{'id': None, 'name': 'News-Medical.Net'}",,The effectiveness of molnupiravir and nirmatrelvir/ritonavir in reducing hospitalization and deaths in non-hospitalized COVID-19 patients - News-Medical.Net,"Researchers assessed the effectiveness of two orally administered antiviral medications, nirmatrelvir/ritonavir, and molnupiravir, in decreasing hospitalization and deaths among real-world non-hospitalized COVID-19 patients in Hong Kong.",https://www.news-medical.net/news/20220525/The-effectiveness-of-molnupiravir-and-nirmatrelvirritonavir-in-reducing-hospitalization-and-deaths-in-non-hospitalized-COVID-19-patients.aspx,https://d2jx2rerrg6sh3.cloudfront.net/images/news/ImageForNews_714797_1653474876874751.jpg,2022-05-25T10:38:00Z,"In a recent study posted to Preprints with The Lancet*, researchers assessed the effectiveness of two orally administered antiviral medications, nirmatrelvir/ritonavir, and molnupiravir, in decreasin… [+6113 chars]"
32,"{'id': None, 'name': 'NDTV News'}",,"Death Penalty Demand For Kashmiri Separatist Yasin Malik, Verdict Shortly - NDTV","The court had earlier said that Malik had set up an elaborate structure and mechanism across the world to raise funds for carrying out terrorist and other unlawful activities in Jammu and Kashmir in the name of the ""freedom struggle"".",https://www.ndtv.com/india-news/probe-agency-demands-death-penalty-for-kashmiri-separatist-yasin-malik-verdict-out-soon-3007428,https://c.ndtvimg.com/2022-05/esq2dero_yasin-malik_625x300_25_May_22.jpg,2022-05-25T10:35:00Z,"The defence has asked for life imprisonment instead of the death penalty.
New Delhi: The National Investigation Agency has demanded the death penalty for convicted Kashmiri separatist leader Yasin M… [+3035 chars]"
33,"{'id': None, 'name': 'Malaysiakini'}",Malaysiakini Team,Floods: Danger lurks in Taman Sri Muda as several Klang Valley areas inundated - Malaysiakini,UPDATED 7.11PM | Water level at Sg Klang has risen after continuous downpour.,https://www.malaysiakini.com/news/622442,https://i.ncdn.xyz/publisher-c1a3f893382d2b2f8a9aa22a654d9c97/2021/12/17668e66521e12be4219ca7c6bd3ac6e.jpg,2022-05-25T10:34:15Z,"The water level at Sungai Klang in Taman Sri Muda, Shah Alam has risen above the flood danger level as of 5pm today, while several areas in the Klang Valley are already inundated with flash floods, a… [+275 chars]"
34,"{'id': None, 'name': 'The Times'}",Didi Tang,UN confronts China over dossier on Uighur plight in Xinjiang - The Times,The UN’s most senior human rights representative has been urged to investigate claims that China operated a shoot-to-kill policy for Uighur Muslim prisoners,https://www.thetimes.co.uk/article/un-confronts-china-over-dossier-on-uighur-plight-in-xinjiang-dv0mz9s8j,https://www.thetimes.co.uk/imageserver/image/%2Fmethode%2Ftimes%2Fprod%2Fweb%2Fbin%2F22a853b4-db90-11ec-8de3-573a6521e09e.jpg?crop=1500%2C844%2C0%2C78&resize=1200,2022-05-25T10:30:00Z,The UNs most senior human rights representative has been urged to investigate claims that China operated a shoot-to-kill policy for Uighur Muslim prisoners who tried to escape from its brutal re-educ… [+592 chars]
35,"{'id': None, 'name': 'Daily Mail'}",Danyal Hussain,Katie Price is told she faces jail after admitting to breaching restraining order - Daily Mail,"Mother-of-five Price, 44, was arrested on January 21 on suspicion of breaking her restraining order against Michelle Penticost with a foul-mouthed text to her ex.",https://www.dailymail.co.uk/news/article-10853025/Katie-Price-told-faces-jail-admitting-breaching-restraining-order.html,https://i.dailymail.co.uk/1s/2022/05/25/10/58261601-0-image-a-13_1653471445568.jpg,2022-05-25T10:29:13Z,"Katie Price has been warned she faces jail after she pleaded guilty to breaching a restraining order by calling ex-husband Kieran Hayler's fiancee a 'gutter s**g'.
Mother-of-five Price, 44, was arre… [+15282 chars]"
36,"{'id': None, 'name': 'Malaysiakini'}",Alyaa Alhadjri,Rape trial: Woman denies consenting to sex with Gombak Setia rep's aide - Malaysiakini,Complainant disagrees with suggestions she enticed the accused into a bedroom.,https://www.malaysiakini.com/news/622440,https://icf.newscdn.net/publisher-c1a3f893382d2b2f8a9aa22a654d9c97/2022/01/2fe423b7a13aa542efefe0b5d780329c.jpg,2022-05-25T10:23:50Z,"A complainant in a rape trial has denied suggestions that she consented to sexual intercourse with the accused, Mohd Zulfahimin Mahdzir, identified as an aide of Gombak Setia assemblyperson Hilman Id… [+267 chars]"
37,"{'id': None, 'name': 'BNNBloomberg.ca'}",Noah Zivitz,"​Scotia hikes dividend, smashes Q2 profit estimates - BNN",Scotiabank opened earnings season for Canada's Big Six on Wednesday with a beat and a dividend hike as profit climbed in all its major divisions other than capital markets.,http://www.bnnbloomberg.ca/scotia-hikes-dividend-smashes-q2-profit-estimates-1.1770358,http://www.bnnbloomberg.ca/polopoly_fs/1.1657982!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/scotiabank.jpg,2022-05-25T10:23:06Z,"Bank of Nova Scotia opened earnings season for Canada's Big Six on Wednesday with a beat and a dividend hike as profit climbed in all its major divisions other than capital markets.
Scotia said its … [+2325 chars]"
38,"{'id': None, 'name': 'The Indian Express'}",Tech Desk,NASA announces early plan to send astronauts to Mars; Solicits feedback - The Indian Express,"NASAis calling on industry, academia, international communities and other stakeholders to provide input on its early plan for a mission to Mars.",https://indianexpress.com/article/technology/science/nasa-announces-early-plan-to-send-astronauts-to-mars-solicits-feedback-7935625/,https://images.indianexpress.com/2022/05/NASA-Mars-mission-plan-released-featured-May-2022.jpg,2022-05-25T10:23:05Z,NASA has shared its early plans to send astronauts to Mars for 30 days. The space agency had released a draft set of high-level objectives earlier this year. These identify 50 points falling under fo… [+1843 chars]
39,"{'id': None, 'name': 'Telegraph.co.uk'}",,Putin pockets $1.9bn wheat windfall after cutting off Ukraine - live updates - The Telegraph,"The departing boss of Marks &amp; Spencer has told shoppers that the supermarket is now finally cheaper than its biggest rival Waitrose, writes Laura Onita.",https://www.telegraph.co.uk/business/2022/05/25/ftse-100-markets-live-news-energy-price-cap-uk-windfall-wheat/,https://www.telegraph.co.uk/content/dam/business/2022/05/25/TELEMMGLPICT000018352360_trans_NvBQzQNjv4BqqVzuuqpFlyLIwiB6NTmJwZQzf7gtsdDmx4MxV_9eOpU.jpeg?impolicy=logo-overlay,2022-05-25T10:22:06Z,"Good morning.
While the rest of the world grapples with a deepening food crisis, Russia has been quietly cashing in.
Putin's invasion of Ukraine has driven global wheat prices up 50pc this year to … [+2140 chars]"
40,"{'id': None, 'name': 'Saharareporters.com'}",editing,"811 PDP Delegates To Decide Atiku, Wike, Obi, Others' Fates At Presidential Primary - SaharaReporters.com","The 811 delegates of the party consist of one national delegate elected from each of the 774 local government areas and one special delegate per state and the Federal Capital Territory (FCT) from among persons living with disabilities, Daily Trust reports.",https://saharareporters.com/2022/05/25/811-pdp-delegates-decide-atiku-wike-obi-others%E2%80%99-fates-presidential-primary,,2022-05-25T10:22:05Z,"Barring any last-minute change, it is now certain that 811 delegates will decide the fate of the Peoples Democratic Party (PDP) presidential aspirants at its national convention slated for May 28 and… [+1665 chars]"
41,"{'id': None, 'name': 'CBS Sports'}",Jack Maloney,"Mavericks-Warriors takeaways: Luka Doncic, Dallas make it rain in Game 4, hold off Golden State to stay alive - CBS Sports",Dallas staved off elimination and forced Game 5 of the Western Conference finals,https://www.cbssports.com/nba/news/mavericks-warriors-takeaways-luka-doncic-dallas-make-it-rain-in-game-4-hold-off-golden-state-to-stay-alive/live/,https://sportshub.cbsistatic.com/i/r/2022/05/25/d6ef3fb4-6591-453f-bb45-eba5d2eb38ff/thumbnail/1200x675/ee15cce64f415a6a956e7ed05836d310/luka-usatsi-3.png,2022-05-25T10:17:16Z,"The Dallas Mavericks aren't going home just yet. Facing elimination at home in Game 4, they responded to get their first win of the Western Conference finals, beating the Golden State Warriors 119-10… [+4713 chars]"
