,title,OP,desc,date,url
27,Unionists seethe at 'meddling Americans' as Richie Neal and Co. visit Derry - TheJournal.ie,0,Democrat Richard Neal angered unionists with comments yesterday.,2022-05-25T10:56:00Z,https://www.thejournal.ie/us-politicians-visit-northern-ireland-protocol-5773535-May2022/
78,"""Learnt Good Things"": Hardik Pandya On India Legend After Taking Gujarat Titans To IPL 2022 Final - NDTV Sports",0,"Questions were raised when he was handed captaincy for a team making its debut, but Pandya has delivered, be it with the bat, ball or in his 'Captain Cool' demeanour, much like his mentor MS Dhoni.",2022-05-25T08:58:06Z,https://sports.ndtv.com/ipl-2022/learnt-good-things-hardik-pandya-on-india-legend-after-taking-gujarat-titans-to-ipl-2022-final-3007708
85,Rumour: Looks Like PS1 Classic Dino Crisis Is Joining the PS Plus Premium Lineup - Push Square,2,A wild Regina appears,2022-05-25T08:45:00Z,https://www.pushsquare.com/news/2022/05/rumour-looks-like-ps1-classic-dino-crisis-is-joining-the-ps-plus-premium-lineup
34,UN confronts China over dossier on Uighur plight in Xinjiang - The Times,0,The UN’s most senior human rights representative has been urged to investigate claims that China operated a shoot-to-kill policy for Uighur Muslim prisoners,2022-05-25T10:30:00Z,https://www.thetimes.co.uk/article/un-confronts-china-over-dossier-on-uighur-plight-in-xinjiang-dv0mz9s8j
30,"Pakistan: Police fire teargas, baton-charge supporters of ousted PM Khan - Times of India",0,Pakistan News: Pakistani police fired teargas and baton-charged supporters of ousted Prime Minister Imran Khan on Wednesday to block them from reaching the capital I,2022-05-25T10:45:00Z,https://timesofindia.indiatimes.com/world/pakistan/pakistan-police-fire-teargas-baton-charge-supporters-of-ousted-pm-khan/articleshow/91788878.cms
42,Scientists Develop a New Family of ‘2D’ Materials With Promising Applications - SciTechDaily,0,"Researchers say the material has promising applications, such as advanced electronics and high-capacity batteries. Tulane University's School of Science and Engineering has created a new family of two-dimensional materials with promising applications, includi…",2022-05-25T10:15:28Z,https://scitechdaily.com/?p=173514
99,Auckland gang shootings: Stray bullet hits neighbour's bedroom after gang drive-by shooting - New Zealand Herald,2,"'Just caught in the crossfire. It literally hit my house,' the Flat Bush resident said.",2022-05-25T08:09:05Z,https://www.nzherald.co.nz/nz/auckland-gang-shootings-stray-bullet-hits-neighbours-bedroom-after-gang-drive-by-shooting/GROT5XNILKCXB4PNZIZHWKPQGA/
56,"Explained: Why Christian Bale will steal the show with his character Gorr the God Butcher in Thor: Love And Thunder - Opinion News , Firstpost - Firstpost",0,"Chris Hemsworth and Christian Bale starrer Thor: Love And Thunder also stars Natalie Portman, Russell Crowe, Tessa Thompson, Chris Pratt, Jaimie Alexander, Pom Klementieff, Dave Bautista, Karen Gillan, Sean Gunn, Jeff Goldblum, and Vin Diesel in prominent rol…",2022-05-25T09:38:43Z,https://www.firstpost.com/opinion/explained-why-christian-bale-will-steal-the-show-with-his-character-gorr-the-god-butcher-in-thor-love-and-thunder-10717141.html
7,JWill reacts to Luka Doncic coming through for the Mavericks in Game 4 vs. the Warriors | KJM - ESPN,0,JWill reacts to Luka Doncic coming through for the Mavericks in Game 4 vs. the Warriors | KJMThe KJM crew reacts to the Golden State Warriors' 119-109 loss a...,2022-05-25T11:52:10Z,https://www.youtube.com/watch?v=vdsjFpfcroQ
79,"Many Health Ministry purchases did not follow SOP during Covid-19 pandemic, admits Dr Adham - The Star Online",0,PETALING JAYA: Datuk Seri Dr Adham Baba says he will cooperate with the Malaysian Anti-Corruption Commission over claims of corruption involving the procurement of medical equipment and medicine during the Covid-19 pandemic.,2022-05-25T08:56:00Z,https://www.thestar.com.my/news/nation/2022/05/25/many-health-ministry-purchases-did-not-follow-sop-during-covid-19-pandemic-admits-dr-adham
12,Pfizer to offer all its drugs not-for-profit to 45 lower-income countries - The Guardian,2,Company launches ‘healthier world’ accord in Davos and speaks to other pharma firms about similar steps,2022-05-25T11:30:00Z,https://amp.theguardian.com/business/2022/may/25/pfizer-to-offer-low-cost-medicines-to-45-lower-income-countries
92,NASA will send not only Americans to the moon: who else will join the mission - The Saxon,0,"Amid the Russian invasion of Ukraine, the United States is looking for new allies for space exploration. We are . We are from Ukraine From the first day of the war, Focus never stopped working. Our team considers it its duty to inform the reader about what is…",2022-05-25T08:27:18Z,https://thesaxon.org/nasa-will-send-not-only-americans-to-the-moon-who-else-will-join-the-mission/2570/
66,"China is pursuing a Pacific-wide pact with 10 island nations on security, policing and data – report - The Guardian",0,Federated States of Micronesia wants deal rejected because it could spark new cold war between China and west while Australia admits ‘we’ve got a lot of work to do’,2022-05-25T09:22:00Z,https://amp.theguardian.com/world/2022/may/25/china-is-pursuing-a-pacific-wide-pact-with-10-island-nations-on-security-policing-and-data-report
2,No monkeypox cases detected in South Africa: NICD - EWN,2,NICD experts have given an update on the infectious disease since two cases were confirmed by WHO in the United Kingdom on 13 May.,2022-05-25T12:10:08Z,https://ewn.co.za/2022/05/25/no-monkeypox-cases-detected-in-south-africa-nicd
48,Govt urged to take proactive steps at transport hubs against monkeypox threat - MalaysiaNow,2,Gerakan says the healthcare system and economy are still struggling to recover from the effects of the Covid-19 pandemic.,2022-05-25T10:06:51Z,https://www.malaysianow.com/news/2022/05/25/govt-urged-to-take-proactive-steps-at-transport-hubs-against-monkeypox-threat/
72,"Live updates: Hodge Hill road closed due to 'large police presence', buses diverted - Birmingham Live",2,Eyewitnesses reported seeing forensics at the scene,2022-05-25T09:11:48Z,https://www.birminghammail.co.uk/news/midlands-news/live-updates-hodge-hill-road-24053482
21,"More than 1 in 5 adult Covid survivors in US may develop long Covid, CDC study suggests - The Indian Express",2,Long Covid is the term used to describe an array of symptoms that can last for months or longer after the initial coronavirus infection.,2022-05-25T11:05:40Z,https://indianexpress.com/article/lifestyle/health/more-than-1-in-5-adult-covid-survivors-in-us-may-develop-long-covid-cdc-study-suggests-7935844/
31,The effectiveness of molnupiravir and nirmatrelvir/ritonavir in reducing hospitalization and deaths in non-hospitalized COVID-19 patients - News-Medical.Net,0,"Researchers assessed the effectiveness of two orally administered antiviral medications, nirmatrelvir/ritonavir, and molnupiravir, in decreasing hospitalization and deaths among real-world non-hospitalized COVID-19 patients in Hong Kong.",2022-05-25T10:38:00Z,https://www.news-medical.net/news/20220525/The-effectiveness-of-molnupiravir-and-nirmatrelvirritonavir-in-reducing-hospitalization-and-deaths-in-non-hospitalized-COVID-19-patients.aspx
38,NASA announces early plan to send astronauts to Mars; Solicits feedback - The Indian Express,0,"NASAis calling on industry, academia, international communities and other stakeholders to provide input on its early plan for a mission to Mars.",2022-05-25T10:23:05Z,https://indianexpress.com/article/technology/science/nasa-announces-early-plan-to-send-astronauts-to-mars-solicits-feedback-7935625/
60,Live: World-class astronomy base under construction in NW China – Ep. 17 - CGTN,0,"A world-class astronomical observatory is under construction in Lenghu, northwest China's Qinghai Province, with an average elevation of 3,800 meters.",2022-05-25T09:30:59Z,https://news.cgtn.com/news/2022-05-25/Live-World-class-astronomy-base-under-construction-in-NW-China-1ajFtlXus2Q/index.html
28,"Rajasthan, RBSE 5th 8th Result 2022 aaj nahin hoga jaari, what BSER Ajmer officials have said - Times Now",0,"Rajasthan Board, RBSE 8th Result 2022 date has been shared. Rajsthan Board Ajmer officials have now shared update on RBSE 5th 8th Result 2022 date and shared tentative date for results. RBSE Results would be released on rajeduboard.rajasthan.gov.in and rajres…",2022-05-25T10:49:49Z,https://www.timesnownews.com/education/rajasthan-rbse-5th-8th-result-2022-aaj-nahin-hoga-jaari-what-bser-ajmer-officials-have-said-article-91788179
23,"What vaccines, treatments do we have to combat monkeypox? - Financial Post",2,LONDON — With cases of monkeypox inexplicably on the rise outside of Africa – where the viral disease is endemic – public health officials are using contact…,2022-05-25T11:03:07Z,https://financialpost.com/pmn/business-pmn/what-vaccines-treatments-do-we-have-to-combat-monkeypox
86,Monkeypox is endemic in Nigeria. But surveillance isn't what it should be - The Conversation Indonesia,0,Nigeria must step up its preparedness for monkeypox.,2022-05-25T08:44:01Z,https://theconversation.com/monkeypox-is-endemic-in-nigeria-but-surveillance-isnt-what-it-should-be-183711
83,More than a dozen alleged Alameddine gang members front court - 9News,0,<p>Eighteen alleged Alameddine gang members have faced court today after arrests were laid yesterday in relation to a &quot;dial-a-dealer&quot; drug operation in Sydney&#x27;s south-west.</p>,2022-05-25T08:47:42Z,https://www.9news.com.au/national/more-than-a-dozen-alleged-alameddine-gang-members-face-court-over-dial-a-dealer-drug-operation/4524a3b3-d990-4f7c-b2ce-c12cfdf05671
24,NASA’s InSight Mars lander takes one last selfie - The Indian Express,0,"NASA's InSight team expects the lander to become inoperative by December; concluding a mission that has detected more than 1,300 marsquakes and located the most quake-prone regions of the Red Planet.",2022-05-25T11:00:42Z,https://indianexpress.com/article/technology/science/nasa-insight-mars-rover-last-selfie-mission-end-7935887/
91,"What is monkeypox, its symptoms and threat to you? - CNN",0,"Where did monkeypox come from, what are the signs and symptoms and how worried should you be? Here's what we know.",2022-05-25T08:28:00Z,https://www.cnn.com/2022/05/24/health/what-is-monkeypox-virus-explainer-update-wellness/index.html
74,Warriors coach Kerr calls for gun control after Texas school shooting - Rappler,0,"'I'm so tired of getting up here and offering condolences to the devastated families that are out there,' says Warriors head coach Steve Kerr, an advocate of tighter gun laws",2022-05-25T09:06:36Z,https://www.rappler.com/sports/nba/steve-kerr-calls-gun-control-texas-school-shooting-may-2022/
64,Two senior Grab executives quit as company rejigs unit to stem losses - The Straits Times,2,"The company has seen other senior departures in recent months. 
. Read more at straitstimes.com.",2022-05-25T09:25:38Z,https://www.straitstimes.com/business/companies-markets/two-senior-grab-executives-quit-as-company-rejigs-unit-to-stem-losses
1,Will EDSA still be celebrated under Marcos? No answer from spox - Rappler,0,"Senator Imee Marcos says EDSA made their lives tough, 'we're very grateful for a second chance'",2022-05-25T12:26:53Z,https://www.rappler.com/nation/spokesperson-vic-rodriguez-no-answer-will-edsa-be-celebrated-under-marcos-jr/
25,'We had it out with each other' - Tough Munster conversations following Leinster defeat - The42,0,Johann van Graan’s charges delivered a below-par performance against a fringe Leinster team last weekend.,2022-05-25T11:00:00Z,https://www.the42.ie/chris-farrell-munster-3-5773254-May2022/
5,Johnson apologises after Sue Gray report hits out at 'behaviour at the heart of Government' - TheJournal.ie,0,Opposition leader Keir Starmer called for Johnson to resign after the highly critical report was released.,2022-05-25T12:01:00Z,https://www.thejournal.ie/downing-street-sue-gray-report-5773487-May2022/
33,Floods: Danger lurks in Taman Sri Muda as several Klang Valley areas inundated - Malaysiakini,2,UPDATED 7.11PM | Water level at Sg Klang has risen after continuous downpour.,2022-05-25T10:34:15Z,https://www.malaysiakini.com/news/622442
69,‘Guilty as charged’: senior UK officer calls on police chiefs to admit institutional racism - The Guardian,2,Met’s Neil Basu says positive discrimination should be introduced to boost minority ethnic numbers in ranks,2022-05-25T09:14:00Z,https://amp.theguardian.com/uk-news/2022/may/25/neil-basu-uk-officer-calls-on-police-chiefs-admit-institutional-racism
80,Monkeypox 'containable': WHO - Global Times,2,"The outbreak of monkeypox cases outside of Africa can be contained, the World Health Organization said on Tuesday, as more governments said they would launch limited vaccinations to combat rising infections of the virus.",2022-05-25T08:56:00Z,https://www.globaltimes.cn/page/202205/1266520.shtml
81,‘It can’t be sidelined’: bill aims to give Irish official status in Northern Ireland - The Guardian,2,UK government to table legislation to safeguard language as revival gains momentum,2022-05-25T08:53:00Z,https://amp.theguardian.com/uk-news/2022/may/25/bill-irish-official-status-northern-ireland-language-government
96,Modi Govt @ 8 : How the BJP’s dominance changed the political landscape of India - Moneycontrol,2,"Today, the BJP and its NDA allies govern 17 states, covering an estimated 44 per cent of the country's territory and 49.6 percent of its population",2022-05-25T08:24:15Z,https://www.moneycontrol.com/news/politics/modi-govt-8-how-the-bjps-dominance-changed-the-political-landscape-of-india-8573811.html
98,'Full-blown' national strike begins at SARS - News24,2,A national strike at the South African Revenue Service by unions demanding higher wages started on Wednesday morning.,2022-05-25T08:16:46Z,https://www.news24.com/fin24/economy/full-blown-national-strike-begins-at-sars-20220525
57,British government approves sanctioned Russian Roman Abramovich's sale of Chelsea football club - ABC News,0,"Roman Abramovich's 19-year ownership of Chelsea is ending, with the British government approving the sanctioned Russian oligarch's sale of the Premier League club.",2022-05-25T09:36:20Z,https://www.abc.net.au/news/2022-05-25/premier-league-chelsea-sale-approved-by-uk-government/101100138
93,"Nurul Aini has own toilet, 'getaway room' and walk-in closet in 3-storey terrace home - AsiaOne",2,"Despite being a working mother of three, local actress Nurul Aini still manages to find time for herself. In fact, she's even accounted for it in her Scandinavian-minimalist three-storey freehold inter-terrace home. While giving viewers a peek inside her home…",2022-05-25T08:27:00Z,https://www.asiaone.com/entertainment/nurul-aini-has-own-toilet-getaway-room-and-walk-closet-3-storey-terrace-home
87,"Putin, Xi Together; Ukraine May Be Beginning Of 3rd World War: Billionaire - NDTV",0,Billionaire investor George Soros has warned that Russia's invasion of Ukraine may be the beginning of the third world war and that the civilisation may not survive this war.,2022-05-25T08:38:11Z,https://www.ndtv.com/world-news/putin-xi-together-ukraine-may-be-beginning-of-3rd-world-war-billionaire-investor-george-soros-3007630
45,Rights group ‘strongly opposed’ to gardaí being granted facial-recognition technology - TheJournal.ie,2,"Civil liberties groups say it enables “mass surveillance”, the Minister for Justice disagrees.",2022-05-25T10:09:00Z,https://www.thejournal.ie/facial-recognition-technology-gardai-opposed-iccl-5773615-May2022/
10,Texas shooting: 19 children among dead in primary school attack - BBC,0,"Nineteen children are shot dead by a teenage gunman, who is himself killed by law enforcement.",2022-05-25T11:33:25Z,https://www.bbc.com/news/world-us-canada-61573377
65,LG UltraGear 32GQ950 gaming monitor: 31.5-inch 4K up to 160Hz with OC - TweakTown,0,"LG UltraGear's new 32GQ950 gaming monitor: 31.5-inch Nano IPS panel with 4K at up to 160Hz (OC) with 1ms GtG, G-SYNC and FreeSync.",2022-05-25T09:22:03Z,https://www.tweaktown.com/news/86432/lg-ultragear-32gq950-gaming-monitor-31-5-inch-4k-up-to-160hz-with-oc/index.html
62,Deadliest US school shooting in almost a decade prompts calls for tighter gun controls - BreakingNews.ie,2,The gunman was identified as 18-year-old Salvador Ramos,2022-05-25T09:29:05Z,https://www.breakingnews.ie/world/texas-school-shooting-death-toll-rises-to-19-children-1310340.html
55,Mangaluru: Kerala astrologer says ritual shows presence of goddess in Malali mosque structure - Daijiworld.com,0,"Daijiworld Media Network – Mangaluru (SS)
Mangaluru, May 25: Even as the Dakshina Kannada deputy commissioner has ordered to maintain the status quo of the Malali Juma Masjid structure in Mangaluru till further orders, a well-known Kerala based astrologer Da…",2022-05-25T09:39:28Z,https://daijiworld.com/news/newsDisplay?newsID=961932
16,"Nigerian activist, six others win Goldman environmental prize - Premium Times",0,The Goldman Prize is awarded annually to environmental heroes from each of the world’s six inhabited continental regions.,2022-05-25T11:22:43Z,https://www.premiumtimesng.com/news/top-news/532316-nigerian-activist-six-others-win-goldman-environmental-prize.html
71,BREAKING: Ekweremadu withdraws from Enugu governorship race - Punch Newspapers,0,"Former Deputy President of the Senate, Ike Ekweremadu, has withdrawn from the Enugu State governorship race.",2022-05-25T09:12:35Z,https://punchng.com/breaking-ekweremadu-withdraws-from-enugu-governorship-race/
58,"Gunman kills 19 children, 2 adults in Texas school rampage - Toronto Star",0,"UVALDE, Texas (AP) — An 18-year-old gunman killed 19 children and two adults as he went from classroom to classroom at a Texas elementary school, offi...",2022-05-25T09:33:45Z,https://www.thestar.com/news/world/us/2022/05/25/gunman-kills-19-children-in-texas-school-rampage.html
47,Quebec health officials confirm 10 more cases of monkeypox for a total of 15 - Niagara Falls Review,0,"MONTREAL - Quebec health officials are reporting 10 more cases of monkeypox, for a total of 15 confirmed cases across the province.",2022-05-25T10:07:30Z,https://www.thestar.com/news/canada/2022/05/24/quebec-health-officials-confirm-10-more-cases-of-monkeypox-for-a-total-of-15.html
90,Everything PC S01E03 – ‘The story of Intel – part 1’ - TechCentral,0,"In the third episode of Everything PC, we begin our adventure into the world of Intel, the company that in many respects started it all back in 1968.",2022-05-25T08:28:10Z,https://techcentral.co.za/everything-pc-s01e03-the-story-of-intel-part-1/211496/
43,"Closing Bell: Nifty ends below 16,100, Sensex falls 303 pts; IT, realty, capital goods drag - Moneycontrol",0,"Except bank, all other sectoral indices ended in the red with oil &amp; gas, metal, pharma, realty, capital goods and IT index down 1-3 percent.",2022-05-25T10:12:31Z,https://www.moneycontrol.com/news/business/markets/share-market-live-updates-stock-market-today-may-25-latest-news-bse-nse-sensex-nifty-covid-coronavirus-bpcl-coal-india-nhpc-fortis-healthcare-interglobe-aviation-bata-india-grasim-minda-industries-8570411.html
53,Period Face: the dermatologist's advice on 'the big spot' - The Irish Times,2,"Resist the urge to pick, and use these products instead",2022-05-25T09:45:08Z,https://www.irishtimes.com/life-style/fashion/2022/05/25/period-face-the-dermatologists-advice-on-the-big-spot/
13,Passport Express renamed Post Passport ‘to better reflect slower turnaround time’ - TheJournal.ie,2,A Fine Gael TD who campaigned for months to have the name changed says it will “alleviate confusion”.,2022-05-25T11:26:00Z,https://www.thejournal.ie/passport-express-post-passport-renamed-5773642-May2022/
46,Infinix Launches All-New Show Stopping NOTE 12 Series With Ultra-Fast Charging - Guardian Nigeria,2,"Infinix has rolled out its all-new NOTE 12 Series that includes high-performance variants with the thinnest 120W Hyper Charge design, a sleek 6.7” FHD+ Super Light AMOLED display with 120Hz refresh rate, 108MP Cinematic Triple Camera and more. The series incl…",2022-05-25T10:08:00Z,https://editor.guardian.ng/features/infinix-launches-all-new-show-stopping-note-12-series-with-ultra-fast-charging/
61,"Q&A: Todd Boehly's Chelsea takeover is almost complete, so what happens next? - Daily Mail",2,On Tuesday night the Premier League confirmed they had given the green light for the LA Dodgers stakeholder to ratify his takeover from the sanctioned Roman Abramovich.,2022-05-25T09:29:41Z,https://www.dailymail.co.uk/sport/sportsnews/article-10852385/Q-Todd-Boehlys-Chelsea-takeover-complete-happens-next.html
0,London politics latest LIVE: Boris Johnson says he takes ‘full responsibility’ as Sue Gray report published - Evening Standard,2,The 59-page document includes details of 16 boozy events across Whitehall and in Downing Street in breach of Covid laws,2022-05-25T12:37:51Z,https://www.standard.co.uk/news/politics/london-politics-latest-live-sue-gray-partygate-report-watch-pmqs-boris-johnson-b1002176.html
49,Boeing Starliner capsule nears completion of pivotal test flight to orbit - Financial Post,0,"The new Boeing Starliner capsule was due to descend back to Earth on Wednesday from its first uncrewed journey to the International Space Station (ISS),…",2022-05-25T10:03:23Z,https://financialpost.com/pmn/business-pmn/boeing-starliner-capsule-nears-completion-of-pivotal-test-flight-to-orbit
6,Leiland-James Corkill case: Laura Castle jailed for baby murder - BBC,0,"A judge says Laura Castle was ""selfish"" and it was a tragedy the adoption was not ended.",2022-05-25T11:59:16Z,https://www.bbc.co.uk/news/uk-england-cumbria-61566996
50,"Redmi Note 11T Pro, Note 11T Pro+ smartphones with 64MP camera, fast chagrin support launched - Times of India",0,Xiaomi has added two new smartphones to its Redmi Note 11 series. The company has launched Redmi Note 11T Pro and Redmi Note 11T Pro+ at an event in C,2022-05-25T10:01:00Z,https://timesofindia.indiatimes.com/gadgets-news/redmi-note-11t-pro-note-11t-pro-smartphones-with-64mp-camera-fast-chagrin-support-launched/articleshow/91787851.cms
26,Researchers Made Ultracold Quantum Bubbles on the Space Station - WIRED,0,NASA’s Cold Atom Laboratory runs super-low-temperature experiments in near-zero gravity that would be impossible to accomplish on Earth.,2022-05-25T11:00:00Z,https://www.wired.com/story/researchers-made-ultracold-quantum-bubbles-on-the-space-station/
97,The path to least resistance: How our researchers are outsmarting cancer’s survival skills - Cancer Research UK News,0,Our scientists across the country are working hard to tackle drug resistance – one of cancer's cruellest curveballs.,2022-05-25T08:17:22Z,https://news.cancerresearchuk.org/2022/05/25/the-path-to-least-resistance-how-our-researchers-are-outsmarting-cancers-survival-skills/
11,"Antetokounmpo, Jokic and Doncic head historically young All-NBA team - The Guardian",0,"Devin Booker and Jayson Tatum were also voted to the All-NBA first team on Tuesday, the first time in 67 years all five players were age 27 or younger",2022-05-25T11:32:00Z,https://amp.theguardian.com/sport/2022/may/25/antetokounmpo-jokic-and-doncic-head-historically-young-all-nba-team
44,"Bumpy ride ahead for Singapore's economy, inflation to stay elevated: Economists - CNA",0,"SINGAPORE: Dark clouds are gathering on the horizon for Singapore’s economy as the ongoing Russia-Ukraine conflict and strict COVID-19 lockdowns in China exacerbate supply chain snarls and fuel further price increases.

“The road ahead remains bumpy,” said …",2022-05-25T10:09:32Z,https://www.channelnewsasia.com/business/bumpy-ride-ahead-singapore-economy-inflation-remain-high-economists-2706221
22,Hypogyrification in generalized anxiety disorder | NSS - Dove Medical Press,0,Exploring whether the aberrant cortical morphology was associated with insomnia in generalized anxiety disorder,2022-05-25T11:04:48Z,https://www.dovepress.com/hypogyrification-in-generalized-anxiety-disorder-and-associated-with-i-peer-reviewed-fulltext-article-NSS
17,"Dublin Airport: One man arrested, another hospitalised after fight at terminal - The Irish Times",2,Minister for Justice says incident is ‘absolutely not acceptable. People were queuing to go on their holidays’,2022-05-25T11:21:56Z,https://www.irishtimes.com/crime-law/2022/05/25/dublin-airport-one-man-arrested-another-hospitalised-after-fight-at-terminal/
70,"What we know about the victims of the school shooting in Uvalde, Texas - The Washington Post",2,,2022-05-25T09:14:00Z,https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-victims/
84,Innovative Diffractive Solar Sail Funded by NASA Could Take Science to Exciting New Destinations - SciTechDaily,0,"As NASA's exploration continues to push boundaries, a new solar sail concept has been selected by the agency for development toward a demonstration mission that could carry science to new destinations. The Diffractive Solar Sailing project was selected for Ph…",2022-05-25T08:46:46Z,https://scitechdaily.com/?p=173553
68,VP-elect Sara Duterte visits Panay Island to thank supporters - Manila Bulletin,2,The Nation's Leading Newspaper,2022-05-25T09:15:00Z,https://mb.com.ph/2022/05/25/vp-elect-sara-duterte-visits-panay-island-to-thank-supporters/
39,Putin pockets $1.9bn wheat windfall after cutting off Ukraine - live updates - The Telegraph,2,"The departing boss of Marks &amp; Spencer has told shoppers that the supermarket is now finally cheaper than its biggest rival Waitrose, writes Laura Onita.",2022-05-25T10:22:06Z,https://www.telegraph.co.uk/business/2022/05/25/ftse-100-markets-live-news-energy-price-cap-uk-windfall-wheat/
32,"Death Penalty Demand For Kashmiri Separatist Yasin Malik, Verdict Shortly - NDTV",2,"The court had earlier said that Malik had set up an elaborate structure and mechanism across the world to raise funds for carrying out terrorist and other unlawful activities in Jammu and Kashmir in the name of the ""freedom struggle"".",2022-05-25T10:35:00Z,https://www.ndtv.com/india-news/probe-agency-demands-death-penalty-for-kashmiri-separatist-yasin-malik-verdict-out-soon-3007428
63,The show that Netflix needs right now - news.com.au,0,<p>Stranger Things needs to be big. Netflix needs it to be big.</p>,2022-05-25T09:26:42Z,https://www.news.com.au/entertainment/tv/streaming/stranger-things-4-is-exactly-what-netflix-needs-right-now/news-story/33621efb1d1596e0b69d33a6409f8af1
54,Amber Heard branded crazy and jealous by new Johnny Depp witness - Geo News,0,"Johnny Depp was under severe pressure during marriage with Amber Heard, says witness",2022-05-25T09:45:00Z,https://www.geo.tv/latest/418891-amber-heard-branded-crazy-and-jealous-by-new-johnny-depp-witness
19,Fact check: Herschel Walker falsely claims he never falsely claimed he graduated from University of Georgia - CNN,0,"Herschel Walker, the former football star who is now the Republican nominee for a US Senate seat in Georgia, is piling dishonesty upon dishonesty on the subject of his college education.",2022-05-25T11:08:00Z,https://www.cnn.com/2022/05/25/politics/fact-check-walker-university-of-georgia-graduated/index.html
14,Scathing report blames Boris Johnson for British government parties during COVID-19 lockdown - ABC News,0,A long-awaited report into secret parties held at 10 Downing Street while Britain was locked down during its first COVID-19 wave blames the government's senior leadership team.,2022-05-25T11:25:20Z,https://www.abc.net.au/news/2022-05-25/boris-johnson-blamed-covid-lockdown-parties-sue-gray-report/101100204
59,"Two senior Grab executives quit as company rejigs unit to stem losses, say sources - Malay Mail",0,"SINGAPORE, May 25 —Two top executives at Grab Holdings’ fintech business have quit, adding to other senior departures in recent months, as the Southeast Asian ride-hailing and...",2022-05-25T09:32:19Z,https://www.malaymail.com/news/money/2022/05/25/two-senior-grab-executives-quit-as-company-rejigs-unit-to-stem-losses-say-sources/8747
82,Austin Butler reveals he found it hard to get out of character after playing Elvis Presley - Daily Mail,0,"The actor, 30, said he 'lost touch' with his own personality after playing the 'King of Rock and Roll' in Baz Luhrmann's biopic Elvis.",2022-05-25T08:52:19Z,https://www.dailymail.co.uk/tvshowbiz/article-10852599/Austin-Butler-reveals-hard-character-playing-Elvis-Presley.html
